ID_Tempat,Nama_Tempat,Daerah,Latitude,Longitude,Telepon,Gambar,Menu
t0091,Warung Nasi Lawar Bali OHAHE,Denpasar,"-869,789","11,523,274",8982436229,"91_a,91_b","Nasi Lawar, Nasi Kuah Balung Babi, Nasi Lawar Komplit, Nasi Lawar Jumbo, Nasi Lawar Soto Babi"
t0092,Warung Ayam Betutu,Denpasar,"-8,644,054","115,191,094",85738733866,"92_a,92_b","Nasi Ayam Betutu, Paha Ayam Betutu, Ayam Betutu Ekoran, Sambal Matah, Nasi Ayam Betutu Komplit"
t0093,Rumah Makan Babi Guling Karya Rebo,Badung,"-8,760,797","1,151,761,256",361703229,"93_a,93_b","Nasi Campur Babi Guling Karya Rebo, Babi guling Karya Rebo, Sate Babi Karya Rebo, Kulit Babi Karya Rebo, Gorengan Crispy Karya Rebo"
t0094,Babi Guling Handayani,Denpasar,"-8,640,178","1,152,189,821",361462792,"94_a,94_b","Kuah Balung, Nasi Babi Guling, Sate Lilit, Lauk Campur, Kulit"
t0095,Babi Guling Renon,Denpasar,"-86,739,036","1,152,444,149",361234208,"95_a,95_b","Siobak, Nasi Babi Guling Laris, Nasi Babi Guling Spesial, Nasi Babi Guling Nikmat, Daging Babi Guling"
t0096,Warung Makan Babi Guling Bu Manis,Denpasar,"-86,890,345","1,152,074,667",85739082711,"96_a,96_b","Nasi Babi Guling Pisah, Nasi Babi Guling Campur, Nasi Babi Guling Komplit, Sate Babi, Babi Guling"
t0097,Rumah Makan Babi Guling Sari Nadi,Denpasar,"-87,169,119","1,152,064,659",81338750655,"97_a,97_b","Nasi Babi Guling Spesial, Nasi Babi Guling Biasa, Nasi Kotak, Nasi Kuah Babi Guling Biasa, Nasi Kuah Babi Guling Spesial"
t0098,Lawar Kuwir Yan Jinah,Denpasar,"-87,169,119","1,152,064,659",85238057421,"98_a,98_b","Nasi Campur Lawar Kuwir Yan Jinah, Lawar Kuwir, Daun Belimbing, Sate Kuwir, Daging Betutu Sisit"
t0099,Warung Lawar Khana,Denpasar,"-868,701","1,152,247,993",8563704077,"99_a,99_b","Nasi Lawar Campur, Nasi Soto Lawar Campur, Nasi Campur Spesial Lawar, Nasi Campur Pandemi, Nasi Soto Babi"
t0100,Liligundi Warung Jaje Bali,Denpasar,"-861,549","115,193,693",361414452,"100_a,100_b","Jaje Bali Campur, Bubuh Sumsum, Laklak Keju Susu, Kolak Pisang Sela, Lupis"
